Target,pg poc,pg pic
Acanthoica acanthifera HET,12.7,1.91
Acanthoica acanthos HET,34.8,9.77
Acanthoica quattrospina HET,15.4,4.98
Acanthoica quattrospina HOL,183.0,41.6
Algirosphaera cucullata HET,9.4,2.95
Algirosphaera robusta HET,14.0,16.8
Alisphaera capulata HET,17.3,2.07
Alisphaera extenta HET,39.8,10.2
Alisphaera gaudii HET,26.8,8.89
Alisphaera gaudii POL,23.3,4.41
Alisphaera pinnigera HET,99.8,24.7
Alisphaera unicornis HET,102.0,30.7
Alisphaera unicornis POL,305.0,68.7
Braarudosphaera bigelowii NANO,103.0,23.5
Calcidiscus leptoporus HET,131.0,241.0
Calcidiscus leptoporus HOL,155.0,43.4
Calciopappus caudatus HET,3.98,1.46
Calciopappus rigidus HET,10.6,3.88
Calciosolenia brasiliensis HET,99.5,23.1
Calciosolenia murrayi HET,26.9,2.83
Calicasphaera blokii HOL,6.08,
Calicasphaera concava HOL,3.92,
Calicasphaera diconstricta HOL,37.5,7.22
Calyptrolithina divergens HOL,13.7,0.516
Calyptrolithina multipora HOL,141.0,53.3
Calyptrosphaera heimdaliae HOL,29.6,4.79
Calyptrosphaera sphaeroidea HOL,43.5,8.28
Ceratolithus cristatus CER,11.5,4.26
Ceratolithus cristatus HET,169.0,46.6
Coccolithus pelagicus HET,138.0,419.0
Coccolithus pelagicus HOL,163.0,40.8
Corisphaera gracilis HOL,16.8,1.6
Corisphaera tyrrheniensis HOL,18.6,1.86
Cyrtosphaera aculeata HET,27.1,10.5
Discosphaera tubifera HET,26.2,23.4
Emiliania huxleyi HET,10.4,4.66
Florisphaera profunda NANO,7.72,37.6
Formonsella pyramidosa HET,2.09,0.857
Gephyrocapsa ericsonii HET,1.21,1.22
Gephyrocapsa muellerae HET,4.7,8.26
Gephyrocapsa oceanica HET,15.3,5.13
Gephyrocapsa ornata HET,2.08,4.56
Gephyrocapsa parvula HET,2.05,1.09
Gladiolithus flabellatus HET,14.6,4.29
Gliscolithus amitakareniae HOL,51.8,10.3
Hayaster perplexus HET,1070.0,319.0
Helicosphaera HOL catilliferus type,105.0,24.2
Helicosphaera HOL confusus type,85.0,22.2
Helicosphaera HOL ponticuliferus type,68.1,16.3
Helicosphaera carteri HET,170.0,191.0
Helicosphaera hyalina HET,129.0,104.0
Helicosphaera pavimentum HET,73.8,66.4
Helicosphaera pavimentum HOL,71.1,18.3
Helicosphaera wallichii HET,50.5,202.0
Helladosphaera cornifera HOL,19.3,2.72
Helladosphaera pienaarii HOL,130.0,27.3
Holococcolithophora dentata HOL,242.0,79.1
Homozygosphaera spinosa HOL,4.02,3.33
Homozygosphaera triarcha HOL,17.1,2.93
Michaelsarsia adriaticus HET,145.0,36.8
Michaelsarsia elegans HET,91.2,17.8
Oolithotus antillarum HET,20.0,26.7
Oolithotus fragilis HET,169.0,146.0
Ophiaster formosus HET,9.87,2.75
Ophiaster hydroideus HET,9.78,2.65
Palusphaera vandelii HET,94.7,27.7
Pappomonas sp. type 3 HET,81.0,20.6
Pappomonas sp. type 5 HET,9.87,2.83
Papposphaera lepida HET,19.0,5.07
Picarola margalefii HET,5.67,2.35
Pontosphaera syracusana HET,610.0,143.0
Poritectolithus maximus HOL,84.8,20.9
Rhabdosphaera clavigera HET,26.3,21.0
Rhabdosphaera xiphos HET,67.4,14.9
Scyphosphaera apsteinii HET,688.0,184.0
Sphaerocalyptra adenensis HOL,15.3,0.901
Sphaerocalyptra quadridentata HOL,0.734,
Sphaerocalyptra sp. 1 HOL,17.8,4.05
Syracolithus sp. type A HOL,17.7,2.93
Syracosphaera ampliora HET,48.0,16.4
Syracosphaera anthos HET,50.0,5.27
Syracosphaera anthos HOL,91.9,11.2
Syracosphaera arethusae HET,72.9,20.1
Syracosphaera arethusae HOL,67.1,13.8
Syracosphaera aurisinae HET,130.0,38.6
Syracosphaera aurisinae HOL,24.0,9.38
Syracosphaera bannockii HET,73.8,3.35
Syracosphaera bannockii HOL,13.0,1.57
Syracosphaera borealis HET,28.5,7.72
Syracosphaera corolla HET,94.0,22.6
Syracosphaera dilatata HET,31.6,9.6
Syracosphaera epigrosa HET,112.0,29.8
Syracosphaera exigua HET,73.8,19.9
Syracosphaera gaarderae HET,50.3,15.7
Syracosphaera gaarderae HOL,41.5,9.72
Syracosphaera halldalii HET,105.0,3.81
Syracosphaera hastata HET,19.1,1.23
Syracosphaera histrica HET,169.0,10.9
Syracosphaera histrica HOL,91.9,3.92
Syracosphaera isselii HOL,37.9,4.34
Syracosphaera lafourcadii HOL,4.34,
Syracosphaera magnaghii HOL,13.9,2.92
Syracosphaera marginiporata HET,15.5,5.55
Syracosphaera mediterranea HET,130.0,35.8
Syracosphaera mediterranea HOL gracillima type,114.0,28.3
Syracosphaera mediterranea HOL hellenica type,229.0,58.0
Syracosphaera mediterranea HOL marisrubri type,89.3,30.3
Syracosphaera mediterranea HOL wettsteinii type,99.1,5.48
Syracosphaera molischii HET,29.1,2.51
Syracosphaera molischii HOL,10.1,
Syracosphaera nana HET,21.5,6.31
Syracosphaera nana HOL,34.3,7.29
Syracosphaera nodosa HET,20.6,4.16
Syracosphaera noroitica HET,78.7,0.997
Syracosphaera orbiculus HET,25.8,0.513
Syracosphaera ossa HET,12.9,3.54
Syracosphaera periperforata HOL,11.1,0.59
Syracosphaera prolongata HET,124.0,4.72
Syracosphaera protrudens HET,75.1,22.9
Syracosphaera pulchra HET,40.9,60.7
Syracosphaera pulchra HOL galea type,123.0,24.6
Syracosphaera pulchra HOL oblonga type,233.0,12.1
Syracosphaera pulchra HOL pirus type,107.0,27.6
Syracosphaera reniformis HET,6.69,0.998
Syracosphaera rotula HET,14.3,4.25
Syracosphaera squamosa HET,5.88,1.76
Syracosphaera strigilis HET,18.7,5.01
Syracosphaera strigilis HOL,9.75,2.12
Syracosphaera tumularis HET,396.0,104.0
Turrilithus latericioides HET,51.3,13.7
Umbellosphaera irregularis HET,23.2,11.9
Umbellosphaera tenuis HET,29.6,7.23
Umbilicosphaera anulus HET,338.0,107.0
Umbilicosphaera foliosa HET,51.0,14.7
Umbilicosphaera hulburtiana HET,30.3,37.8
Umbilicosphaera sibogae HET,790.0,172.0
Wigwamma antarctica HET,12.2,3.45
Zygosphaera amoena HOL,10.5,
Zygosphaera marsilii HOL,37.2,6.19
